FID,ID_POP_DOMIC_BAIRRO_2022,NUM_BAIRRO,BAIRRO,AREA_KM,POPULACAO,DOMICILIOS
POP_DOMIC_BAIRRO_2022.420,420,1429,Vila Ipiranga,0.00473976,144.0,71.0
POP_DOMIC_BAIRRO_2022.44,44,650,Conjunto Celso Machado,0.33132177,2238.0,867.0
POP_DOMIC_BAIRRO_2022.266,266,1261,Indaiá,0.43558356,2891.0,1616.0
POP_DOMIC_BAIRRO_2022.158,158,782,São Francisco,1.43037489,4028.0,2124.0
POP_DOMIC_BAIRRO_2022.122,122,740,Palmares,0.69759593,6431.0,2760.0
POP_DOMIC_BAIRRO_2022.470,470,1479,São Sebastião,0.0186815,413.0,146.0
POP_DOMIC_BAIRRO_2022.453,453,1462,Vila Santa Rosa,0.02877129,1092.0,441.0
POP_DOMIC_BAIRRO_2022.183,183,808,União,1.54158908,13446.0,6176.0
POP_DOMIC_BAIRRO_2022.364,364,1372,Penha,0.2144095,2069.0,881.0
POP_DOMIC_BAIRRO_2022.419,419,1428,Vila Inestan,0.02147413,626.0,267.0
POP_DOMIC_BAIRRO_2022.173,173,798,Serrano,1.08183238,10382.0,4637.0
POP_DOMIC_BAIRRO_2022.638,638,2028,Vila São Tomáz,0.21300845,3585.0,1487.0
POP_DOMIC_BAIRRO_2022.184,184,809,Universitário,0.49901781,1834.0,854.0
POP_DOMIC_BAIRRO_2022.454,454,1463,Vila Santo Antônio,0.00626149,101.0,48.0
POP_DOMIC_BAIRRO_2022.442,442,1451,Vila Paquetá,0.01090626,526.0,217.0
POP_DOMIC_BAIRRO_2022.466,466,1475,Vila Suzana II,0.00339898,95.0,36.0
POP_DOMIC_BAIRRO_2022.428,428,1437,Vila Minaslândia,0.03914705,684.0,306.0
POP_DOMIC_BAIRRO_2022.96,96,713,Liberdade,0.45696859,5126.0,2514.0
POP_DOMIC_BAIRRO_2022.62,62,671,Eymard,0.59432897,3714.0,1609.0
POP_DOMIC_BAIRRO_2022.477,477,1486,Vila São Dimas,0.00979517,212.0,115.0
POP_DOMIC_BAIRRO_2022.449,449,1458,Vila Real I,0.00245577,115.0,48.0
POP_DOMIC_BAIRRO_2022.147,147,771,Maria Goretti,0.77865825,8201.0,3441.0
POP_DOMIC_BAIRRO_2022.149,149,773,Santa Rosa,0.68813979,6261.0,2830.0
POP_DOMIC_BAIRRO_2022.34,34,639,Castelo,2.41004236,28551.0,12940.0
POP_DOMIC_BAIRRO_2022.143,143,767,Santa Inês,1.12978306,8789.0,3696.0
POP_DOMIC_BAIRRO_2022.329,329,1333,Itatiaia,0.1931686,1762.0,762.0
POP_DOMIC_BAIRRO_2022.284,284,1287,Bela Vitória,0.06887846,630.0,275.0
POP_DOMIC_BAIRRO_2022.289,289,1292,Boa União II,0.01847272,345.0,125.0
POP_DOMIC_BAIRRO_2022.133,133,754,Primeiro de Maio,0.17620449,1907.0,820.0
POP_DOMIC_BAIRRO_2022.82,82,698,Ipiranga,0.89315352,10993.0,5187.0
POP_DOMIC_BAIRRO_2022.71,71,684,Glória,1.65522309,12537.0,5595.0
POP_DOMIC_BAIRRO_2022.249,249,1172,Jardim Alvorada,0.88391806,8063.0,3519.0
POP_DOMIC_BAIRRO_2022.117,117,735,Nova Vista,0.6887479,7478.0,3204.0
POP_DOMIC_BAIRRO_2022.2,2,602,Alípio de Melo,1.18130307,7924.0,3253.0
